english,swedish,source,notes
circular mean difference,cirkulär medelskillnad,ISI,
circular normal distribution,cirkulär normalfördelning,ISI,
circular test,cirkeltest,ISI,
circular uniform distribution,likformig fördelning på cirkel,ISI,
class,klass,ISI,
class mark,klassmitt,ISI,
class symbol,klassymbol,ISI,
classification ; taxonomy,klassifikation,ISI,
classification statistic,klassifikationsstatistika,ISI,
clinical trials ; clinical study,klinisk prövning,ISI,
closed sequential scheme,sluten sekventiell urvalsplan,ISI,
closed sequential t-tests ; wedge plans,slutet sekventiellt t-test,ISI,
closed-ended question,sluten fråga,ISI,
cluster,kluster,ISI,
cluster analysis,klusteranalys,ISI,
cluster randomized trial,kluster-randomiserat försök,ISI,
cluster sampling ; multi-stage sampling ; sequential selection ; sequential sampling,klustersampling,ISI,
clustering,klusterbildning,ISI,
coefficient,koefficient,ISI,
coefficient of agreement,överensstämmelsekoefficient,ISI,
coefficient of association,associationskoefficient,ISI,
coefficient of concentration,koncentrationskoefficient,ISI,
coefficient of concordance ; Kendall’s coefficient of concordance ; rank concordance coefficient,konkordanskoefficient,ISI,
coefficient of consistence,konsistenskoefficient,ISI,
coefficient of contingency,kontingenskoefficient,ISI,
coefficient of correlation,korrelationskoefficient,ISI,
coefficient of determination,förklaringsgrad; determinationskoefficient,ISI,
coefficient of multiple correlation ; multiple correlation coefficient,multipel korrelationskoefficient,ISI,
coefficient of multiple partial correlation,multipel partiell korrelationskoefficient,ISI,
coefficient of variation ; variation coefficient ; percentage standard deviation,variationskoefficient,ISI,
coherence,koherens,ISI,
cohort,kohort,ISI,
cohort life table,kohortbaserad livslängdstabell,ISI,
cohort study,kohortstudie,ISI,
cold deck method,cold deck-metod,ISI,
collinearity,kollinearitet,ISI,
combination of tests,kombinering av test,ISI,
combinatorial methods,kombinatoriska metoder,ISI,
combinatorial test,kombinatoriskt test,ISI,
common factor,gemensam faktor,ISI,
common factor variance ; communality,kommunalitet,ISI,
communicate,kommunicera,ISI,
communicating class,kommunicerande klass,ISI,
compact (serial) cluster,kompakt kluster,ISI,
compartment models,kompartmentmodell,ISI,
competing risks,konkurrerande risker,ISI,
complete case analysis,analys av fullständiga fall,ISI,
complete class (of decision functions),fullständig klass (av beslutsfunktioner),ISI,
