english,swedish,source,notes
strictly stationary process,strikt stationär process,ISI,
strong completeness,stark fullständighet,ISI,
strong convergence,stark konvergens,ISI,
strong law of large numbers,stark form av stora talens lag,ISI,
strongly consistent estimator,starkt konsistent estimator,ISI,
structural changes,strukturell förändring,ISI,
structural equation,strukturekvation,ISI,
structural equation models,strukturekvationsmodell,ISI,
structural parameters,strukturparameter,ISI,
structural time-series models,strukturell tidsseriemodell,ISI,
structure,struktur,ISI,
Student's distribution ; Student's t-distribution ; t-distribution,Students t-fördelning,ISI,
studentisation ; studentization,studentisering,ISI,
studentised confidence interval ; studentized confidence interval,studentiserat konfidensintervall,ISI,
studentised range ; studentized range,studentiserad variationsvidd,ISI,
sub-series,delserie,ISI,
subexponential distribution,subexponentiell fördelning,ISI,
subjective Bayesian inference,subjektiv bayesiansk inferens,ISI,
subjective probability ; personal probability,subjektiv sannolikhet,ISI,
submartingale,submartingal,ISI,
subnormal dispersion,subnormal spridning,ISI,
subsample,subsampel; underurval,ISI,
subsampling,subsampling; underurval,ISI,
substitute F-ratio,förenklad F-kvot,ISI,
substitute t-ratio,förenklad t-kvot,ISI,
substitution,substitution,ISI,
successive difference statistic,successiv differens-statistiska,ISI,
sufficiency,tillräcklighet,ISI,
super-martingale,supermartingal,ISI,
superefficiency,supereffektivitet,ISI,
superfluous variable,överflödig variabel,ISI,
supernormal dispersion,supernormal spridning,ISI,
superpopulation models,superpopulationsmodeller,ISI,
superposed process,överlagrad process,ISI,
superposed variation,överlagrad variation,ISI,
supersaturated design,övermättad föröksplan,ISI,
supplementary information ; supplementary data,tilläggsinformation,ISI,
support,stöd,ISI,
surprise index,överraskningsindex,ISI,
survey ; inquiry,undersökning; survey,ISI,
survey methodology,undersökningsmetodik,ISI,
survival analysis,överlevnadsanalys,ISI,
survivor function ; survival function,överlevnadsfunktion,ISI,
symmetric circular distribution,symmetrisk cirkulär fördelning,ISI,
symmetric stable law,symmetrisk stabil  fördelning,ISI,
symmetrical distribution,symmetrisk fördelning,ISI,
symmetrical factorial design,symmetriskt faktorförsök,ISI,
symmetrical test,symmetriskt test,ISI,
symmetry,symmetri,ISI,
sympathy effect,sympatieffekt,ISI,
synergy,synergi,ISI,
synthetic control method,syntetisk kontrollmetod,Lodefalk,
systematic,systematisk,ISI,
systematic design,systematisk försöksplan,ISI,
systematic error,systematiskt fel,ISI,
systematic variation,systematisk variation,ISI,
t-ratio distribution,t-kvotsfördelning,ISI,
T-square test,T-två-test,ISI,
T-test,T-test,ISI,
t-test ; Student's test,t-test,ISI,
taboo probability,tabu-sannolikhet,ISI,
taboo state,tabu-tillstånd,ISI,
tail area (of a distribution),svansarea (hos en fördelning),ISI,
temporally continuous process,tidskontinuerlig process,ISI,
temporally homogeneous process,tidshomogen process,ISI,
terminal decision,avslutande beslut,ISI,
test of normality,normalfördelningstest,ISI,
test statistic,testvariabel,ISI,
tetrachoric correlation,tetrakorisk korrelation,ISI,
tetrachoric function,tetrakorisk funktion,ISI,
theoretical variable,teoretisk variabel,ISI,
three-dimensional lattice,tredimensionellt gitter,ISI,
three-stage least squares,trestegs minsta-kvadratmetod,ISI,
threshold model,tröskelmodell,ISI,
threshold theorems,tröskelteorem,ISI,
tied ranks,lika ranger,ISI,
tightened inspection,skärpt kontroll,ISI,
time domain,tidsdomän,ISI,
time lag,tidsförskjutning,ISI,
time series,tidsserie,ISI,
time-dependent covariates,tidsberoende kovariat,ISI,
tolerance,tolerans,ISI,
tolerance distribution,toleransfördelning,ISI,
tolerance factor,toleransfaktor,ISI,
tolerance limits,toleransgränser,ISI,
tolerance number of defects,tillåtet antal fel,ISI,
total correlation,bruttokorrelation,ISI,
total inspection,totalkontroll,ISI,
total time on test transformation,TTT-transformering,ISI,
traffic intensity,trafikintensitet,ISI,
transition intensity,övergångsintensitet,ISI,
transition matrix,övergångsmatris,ISI,
transition probability,övergångssannolikhet,ISI,
translation parameter,translationsparameter,ISI,
treatment,behandling,ISI,
treatment effect heterogeneity,heterogenitet i behandlingseffekter,Lodefalk,
treatment mean square,medelkvadratsumma för behandling,ISI,
tree regression,trädstrukturerad regression,ISI,
tree structured statistical methods,trädstrukturerad statistisk modell,ISI,
trend fitting,trendanpassning,ISI,
trial ; experiment,försök; studie,ISI,
triangle test,triangeltest,ISI,
triangular design,triangulär försöksplan,ISI,
triangular distribution,triangelfördelning,ISI,
trimmed least squares estimator,trimmad minsta-kvadratestimator,ISI,
trimming,trimning,ISI,
trinomial distribution,trinominalfördelning,ISI,
triple comparisons,trippeljämförelser,ISI,
triple differences (DDD),trippeldifferenser,Lodefalk,
triple lattice,trippelgitter,ISI,
trough,vågdal,ISI,
true mean,sant medelvärde,ISI,
true regression,sann regression,ISI,
truncation,trunkering,ISI,
turning point,vändpunkt,ISI,
two-factor theory,tvåfaktorteori,ISI,
two-phase regression,tvåfasregression,ISI,
two-phase sampling,tvåfasurval,ISI,
two-sided test ; double-tailed test ; two-tailed test,dubbelsidigt test,ISI,
two-stage sample,tvåstegsurval,ISI,
two-way classification,tvåvägsindelning,ISI,
two-way fixed effects (TWFE),tvåvägs fixa effekter,Lodefalk,
type,typ,ISI,
typical period,typisk period,ISI,
typical year,typiskt år,ISI,
U-shaped distribution,U-formad fördelning,ISI,
U-statistic,U-statistika,ISI,
unbiased confidence intervals,väntevärdesriktigt konfidensintervall,ISI,
unbiased critical region,väntevärdesriktigt kritiskt område,ISI,
unbiased estimating equation,väntevärdesriktig estimationsekvation,ISI,
unbiased estimator,väntevärdesriktig estimator,ISI,
unbiased test,väntevärdesriktigt test,ISI,
underdispersion,underdispersion,ISI,
unequal subclasses,olikstora delklasser,ISI,
uniform sampling fraction,enhetlig urvalsfraktion,ISI,
uniform scores test,likformigt score-test,ISI,
uniform spectrum,likformigt spektrum,ISI,
uniformly better decision function,likformigt bättre beslutsfunktion,ISI,
uniformly minimum risk,likformigt minsta risk,ISI,
uniformly most accurate,likformigt mest noggrann,ISI,
uniformly most powerful test ; UMP test,likformigt starkaste test,ISI,
uniformly unbiased estimator,likformigt väntevärdesriktig estimator,ISI,
unimodal,entoppig; unimodal,ISI,
union-intersection principle,union-snitt-principen,ISI,
union-intersection tests,union-snitt-test,ISI,
unique factor,unik faktor,ISI,
uniqueness,unicitet,ISI,
unit normal random variable ; standard normal variable,standardnormalfördelad variabel,ISI,
unitemporal model,unitemporal modell,ISI,
univariate distribution,endimensionell fördelning; univariat fördelning,ISI,
universe ; statistical universe ; population,population,ISI,
unreliability,otillförlitlighet,ISI,
unrestricted random sample,obundet slumpmässigt urval,ISI,
unweighted mean,ovägt medelvärde,ISI,
upper control limit,övre styrgräns,ISI,
upper quartile,övre kvartil,ISI,
upward bias,systematisk överskattning,ISI,
urn model,urnmodell,ISI,
utility theory,nyttoteori,ISI,
validation,validering,ISI,
value at risk ; VaR,value at risk; VaR,ISI,
value index,värdeindex,ISI,
variable sampling fraction,variabel urvalsfraktion,ISI,
variable selection,val av variabler,ISI,
variables inspection,variabelkontroll-metod,ISI,
variance function,variansfunktion,ISI,
variance stabilising transformations,variansstabiliserande transformation,ISI,
variance-covariance matrix,varians-kovariansmatris,ISI,
variate transformation,variabeltransformation,ISI,
variation,variation,ISI,
varimax,varimax,ISI,
vector correlation coefficient,vektorkorrelationskoeffïcient,ISI,
Venn diagram,venndiagram,ISI,
vital statistics,vitalstatistik,ISI,
volatility,volatilitet,ISI,
waiting line ; queue,kö,ISI,
waiting time,väntetid,ISI,
wavelets,wavelet,ISI,
weak convergence,svag konvergens,ISI,
weak instrument,svagt instrument,Lodefalk,
weight ; weighting coefficient ; weighting factor,vikt,ISI,
weight bias,viktbias,ISI,
weight function,viktfunktion,ISI,
weighted average ; weighted mean,vägt medelvärde,ISI,
weighted index number,vägt indextal,ISI,
weighted least squares,vägd minsta-kvadratmetod,ISI,
weighted regression,vägd regression,ISI,
white noise,vitt brus,ISI,
wide sense stationary,svagt stationär,ISI,
window,fönster,ISI,
Winsorised estimation ; Winsorized estimation,winsoriserad estimation,ISI,
within-group variance,inomgruppsvarians; inomvarians,ISI,
z-distribution,z-fördelning,ISI,
z-test,z-test,ISI,
zero-sum game,nollsummespel,ISI,
zone of indifference ; region of indifference ; indifference zone ; indifference region,indifferenszon,ISI,
zone of preference ; region of preference,preferenszon,ISI,
