english,swedish
residual treatment effect ; residual effect ; carry over effect ; treatment-period interaction,kvarstående behandlingseffekt; carry-over-effekt
residual waiting time,återstående väntetid
response,respons; svar
response error,svarsfel
response metameter,responsmetameter
response surface,responsyta
response surface designs,responsytedesign
response time distribution,svarstidsfördelning
R-estimator,R-skattning
restricted randomisation ; restricted randomization,villkorad randomisering
restricted sequential procedure,begränsad sekventiell procedur
return level,återkomstnivå
return period ; return time,återkomstperiod
return states,återkomsttillstånd
reversal test,omkastningstest
reversible relation,reversibelt samband
ridge regression,ridge-regression
right-censoring,högercensurering
right-truncation,högertrunkering
risk ; average loss ; expected loss,risk
risk factor,riskfaktor
risk function,riskfunktion
risk ratio,riskkvot
robust estimators,robust estimator
robustness,robusthet
rotatable design,roterbar försöksplan
rotation,rotation
rotation sampling,roterande urval
Round Robin design,Round Robin-design
rounding,avrundning
route sampling,rutt-sampling
R-process,R-process
R-technique,R-teknik
ruin problems,ruinproblem
runs,svit
saddle point,sadelpunkt
sample,stickprov; sampel; urval
sample design ; sample plan ; survey design ; sampling plan ; sampling design,urvalsplan
sample moment ; sampling moment,stickprovsmoment
sample point,stickprovspunkt
sample size,stickprovsstorlek
sample statistic ; statistic ; statistics,statistika;  stickprovsvariabel; stickprovsfunktion
sample survey ; sampling survey ; survey,stickprovsundersökning
sample unit,urvalsenhet
sample variance ; sampling variance,stickprovsvarians
sampling distribution,samplingfördelning
sampling error,urvalsfel
sampling for attribute,attributprovtagning
sampling fraction ; sampling ratio,urvalsfraktion
sampling frame,urvalsram
sampling inspection,provtagningskontroll
sampling interval,stickprovsintervall
sampling on successive occasions,urval vid successiva tillfällen
sampling unit,urvalsenhet
sampling with replacement,urval med återläggning
saturated model,exakt mättad modell
saturation,mättningsgrad
scale equivariant estimator,skalekvivariant estimator
scale parameter,skalparameter
scatter diagram ; scattergram ; scatter plot,punktdiagram; spridningsdiagram
scedasticity,skedasticitet
scheme of hidden periodicity,förlopp med dold periodicitet
score,poäng; score
score equation,score-ekvation
score statistic,score-statistika
score vector,score-vektor
screening design,screening-plan; sållningsplan
screening inspection,screening-kontroll; sållningskontroll
seasonal variation ; seasonal fluctuation,säsongvariation
secondary process,sekundärprocess
secondary unit ; second- stage unit,andrastegsenhet
second-order analysis,andra ordningens analys
second-order stationary ; second-order stationarity,andra ordningens stationaritet
secular trend ; long-time trend ; trend,trend
selection bias,urvals-bias
selection with arbitrary probability ; selection with variable probability,urval med godtyckliga sannolikheter
selection with equal probability,urval med lika sannolikheter
selection with probability proportional to size,urval med storleksproportionella sannolikheter
self-avoiding random walks,självundvikande slumpvandring
self-conjugate Latin square,symmetrisk romersk kvadrat
self-weighting sample ; self-weighted sample,självvägande urval
semi-Latin square,semiromersk kvadrat
semi-logarithmic chart ; semi-logarithmic graph,semilogaritmiskt diagram
semi-Markov process,semimarkovprocess
semi-martingale,semimartingal
semi-stable law,semistabil fördelning
semi-stationary process,semistationär process
semivariogram,semivariogram
sensitivity analysis,känslighetsanalys
sensitivity and specificity,sensitivitet och specificitet
sensitivity function,känslighetsfunktion
sequential analysis,sekventiell analys
sequential estimation,sekventiell estimation
sequential test,sekventiellt test
serial dilution assay,seriell utspädnings-assay
series ; statistical series,serie
shape,form
shape parameter,formparameter
shock and error model,chock- och felmodell
shock model,chockmodell
shortest confidence intervals ; most selective confidence intervals,kortaste konfidensintervall
short-term fluctuation,korttidsvariationer
shot noise,hagelbrus
sigmoid curve ; sigmoid ; S-curve,sigmoid kurva; S-kurva
sign test,teckentest
signed rank test ; Wilcoxon's matched pairs rank test,rangteckentest
significance,signifikans
similarity,likhet; similaritet
similarity index,likhetsindex
simple hypothesis,enkel hypotes
simple lattice design,enkel gitterplan
simple random sampling,enkelt slumpmässigt urval; obundet slumpmässigt urval
simple structure,enkel struktur
simplex algorithm,simplexalgoritm
simplex designs,simplex-design
simplex method,simplexmetod
simplex models,simplexmodell
simulation model,simuleringsmodell
simultaneous confidence intervals,simultana konfidensintervall
simultaneous estimation,simultan estimation
simultaneous tolerance intervals,simultana toleransintervall
single factor theory,enfaktorteori
single-blind,enkelblind
singular distribution,singulär fördelning
six point assay,sexpunkts-assay
size,storlek
size of a test,signifikansnivå
skew distribution,sned fördelning
slippage test,förskjutningstest
slope ratio assay,lutningskvots-assay
slowly varying function,långsamt varierande funktion
smoothing ; graduation,utjämning
smoothing power,utjämningsförmåga
snowball sampling,snöbollsurval
sojourn time,uppehållstid
space-time clustering,rum-tidsklustring
spatial point process,spatial punktprocess
spatial statistics,rumslig statistik
spatial systematic sample,systematiskt urval i rummet
specific factor,specifik faktor
specific rate,specifik kvot; specifikt tal
specification bias ; specification error,specifikationsfel
specificity,specificitet
spectral average,spektralmedelvärde
spectral decomposition,spektralspjälkning
spectral density function,spektraltäthetsfunktion
spectral distribution function,spektralfördelningsfunktion
spectral weight function ; spectral window,spektralviktsfunktion
spectrum,spektrum
spent waiting time,förbrukad väntetid
spherical distribution,sfärisk fördelning
spherical mean direction,sfärisk medelriktning
spherical normal distribution,sfärisk normalfördelning
spherical standard error,sfäriskt medelfel
spherical variance,sfärisk varians
spherical variance function,sfärisk variansfunktion
spherically symmetric distributions,sfäriskt symmetrisk fördelning
splicing,skarvning
spline estimate,spline-estimat
split half method ; split test method,halveringsmetod
split plot design ; split plot method,splitplot-försök
spreadsheet,kalkylblad
spurious correlation,skenbar korrelation; nonsenskorrelation
square lattice,gitterkvadrat
square root transformation,kvadratrotstransformation
squariance ; sum of squares about the mean,kvadratsumma
stabilisation of variance ; stabilization of variance,variansstabilisering
stability test,stabilitetstest
stable law,stabil fördelning
stable state,stabilt tillstånd
staircase design,trappstegs-design
staircase distribution,trappstegsfördelning
standard deviation ; standard deviate,standardavvikelse
standard error,medelfel
standard error of estimate,estimats medelfel
standard Latin square,standardiserad romersk kvadrat
standard measure,standardiserat mått
standard population,standardpopulation
standard score ; z-score,standardiserad poäng
standardised deviate ; standardised deviate,standardiserad variabel
standardised mortality ratio ; standardized mortality ratio ; SMR,standardiserat dödstal
standardised variable ; standardized variable,standardiserad variabel
stationary distribution,stationär fördelning
stationary population,stationär population
statistical decision function,statistisk beslutsfunktion
statistical graphics,statistisk grafik
statistical hypothesis,statistisk hypotes
statistical literacy,statistisk allmänbildning
statistical population,statistisk population
statistical tolerance interval,statistiskt toleransintervall
statistical tolerance limit ; prediction limit,statistisk toleransgräns
statistical tolerance region,statistisk toleransregion
statistically equivalent block,statistiskt likvärdiga block
stem and leaf display ; stem and leaf plot ; stem and leaf diagram,stam-och-blad-diagram
stepwise regression,stegvis regression
stereogram,stereogram
stereology,stereologi
stochastic,stokastisk; slump-; slumpmässig
stochastic approximation procedure,stokastisk approximationsprocedur
stochastic convergence,stokastisk konvergens
stochastic dependence,stokastiskt beroende
stochastic disturbance,stokastisk störning
stochastic kernel,stokastisk kärna
stochastic matrix,stokastisk matris
stochastic model ; statistical model,stokastisk modell
stochastic programming,stokastisk programmering
stochastic transitivity,stokastisk transitivitet
stochastic variable ; variable ; random variable ; random variate ; variate,slumpvariabel; stokastisk variabel
stochastic volatility,stokastisk volatilitet
stochastically larger or smaller,stokastiskt större eller mindre
stopping rule,stoppregel
strata chart,ackumulerat linjediagram; ytdiagram
strategy,strategi
stratification,stratifiering
stratification after selection,efterstratifiering; poststratifiering
stratified sample,stratifierat urval
stratum,stratum
strictly dominated estimator,"strikt dominerad estimator; strängt 
dominerad estimator"
strictly stationary process,strikt stationär process
strong completeness,stark fullständighet
strong convergence,stark konvergens
strong law of large numbers,stark form av stora talens lag
strongly consistent estimator,starkt konsistent estimator
structural changes,strukturell förändring
structural equation,strukturekvation
structural equation models,strukturekvationsmodell
structural parameters,strukturparameter
structural time-series models,strukturell tidsseriemodell
structure,struktur
studentisation ; studentization,studentisering
studentised confidence interval ; studentized confidence interval,studentiserat konfidensintervall
studentised range ; studentized range,studentiserad variationsvidd
Student's distribution ; Student's t-distribution ; t-distribution,Students t-fördelning
subexponential distribution,subexponentiell fördelning
subjective Bayesian inference,subjektiv bayesiansk inferens
subjective probability ; personal probability,subjektiv sannolikhet
submartingale,submartingal
subnormal dispersion,subnormal spridning
subsample,subsampel; underurval
subsampling,subsampling; underurval
sub-series,delserie
substitute F-ratio,förenklad F-kvot
substitute t-ratio,förenklad t-kvot
substitution,substitution
successive difference statistic,successiv differens-statistiska
sufficiency,tillräcklighet
superefficiency,supereffektivitet
superfluous variable,överflödig variabel
super-martingale,supermartingal
supernormal dispersion,supernormal spridning
superpopulation models,superpopulationsmodeller
superposed process,överlagrad process
superposed variation,överlagrad variation
supersaturated design,övermättad föröksplan
supplementary information ; supplementary data,tilläggsinformation
support,stöd
surprise index,överraskningsindex
survey ; inquiry,undersökning; survey
survey methodology,undersökningsmetodik
survival analysis,överlevnadsanalys
survivor function ; survival function,överlevnadsfunktion
symmetric circular distribution,symmetrisk cirkulär fördelning
symmetric stable law,symmetrisk stabil  fördelning
symmetrical distribution,symmetrisk fördelning
symmetrical factorial design,symmetriskt faktorförsök
symmetrical test,symmetriskt test
symmetry,symmetri
sympathy effect,sympatieffekt
synergy,synergi
systematic,systematisk
systematic design,systematisk försöksplan
systematic error,systematiskt fel
systematic variation,systematisk variation
taboo probability,tabu-sannolikhet
taboo state,tabu-tillstånd
tail area (of a distribution),svansarea (hos en fördelning)
temporally continuous process,tidskontinuerlig process
temporally homogeneous process,tidshomogen process
terminal decision,avslutande beslut
test of normality,normalfördelningstest
test statistic,testvariabel
tetrachoric correlation,tetrakorisk korrelation
tetrachoric function,tetrakorisk funktion
theoretical variable,teoretisk variabel
three-dimensional lattice,tredimensionellt gitter
three-stage least squares,trestegs minsta-kvadratmetod
threshold model,tröskelmodell
threshold theorems,tröskelteorem
tied ranks,lika ranger
tightened inspection,skärpt kontroll
time domain,tidsdomän
time lag,tidsförskjutning
time series,tidsserie
time-dependent covariates,tidsberoende kovariat
tolerance,tolerans
tolerance distribution,toleransfördelning
tolerance factor,toleransfaktor
tolerance limits,toleransgränser
tolerance number of defects,tillåtet antal fel
total correlation,bruttokorrelation
total inspection,totalkontroll
total time on test transformation,TTT-transformering
traffic intensity,trafikintensitet
transition intensity,övergångsintensitet
transition matrix,övergångsmatris
transition probability,övergångssannolikhet
translation parameter,translationsparameter
t-ratio distribution,t-kvotsfördelning
treatment,behandling
treatment mean square,medelkvadratsumma för behandling
tree regression,trädstrukturerad regression
tree structured statistical methods,trädstrukturerad statistisk modell
trend fitting,trendanpassning
trial ; experiment,försök; studie
triangle test,triangeltest
triangular design,triangulär försöksplan
triangular distribution,triangelfördelning
trimmed least squares estimator,trimmad minsta-kvadratestimator
trimming,trimning
trinomial distribution,trinominalfördelning
triple comparisons,trippeljämförelser
triple lattice,trippelgitter
trough,vågdal
true mean,sant medelvärde
true regression,sann regression
truncation,trunkering
T-square test,T-två-test
T-test,T-test
t-test ; Student's test,t-test
turning point,vändpunkt
two-factor theory,tvåfaktorteori
two-phase regression,tvåfasregression
two-phase sampling,tvåfasurval
two-sided test ; double-tailed test ; two-tailed test,dubbelsidigt test
two-stage sample,tvåstegsurval
two-way classification,tvåvägsindelning
type,typ
typical period,typisk period
typical year,typiskt år
unbiased confidence intervals,väntevärdesriktigt konfidensintervall
unbiased critical region,väntevärdesriktigt kritiskt område
unbiased estimating equation,väntevärdesriktig estimationsekvation
unbiased estimator,väntevärdesriktig estimator
unbiased test,väntevärdesriktigt test
underdispersion,underdispersion
unequal subclasses,olikstora delklasser
uniform sampling fraction,enhetlig urvalsfraktion
uniform scores test,likformigt score-test
uniform spectrum,likformigt spektrum
uniformly better decision function,likformigt bättre beslutsfunktion
uniformly minimum risk,likformigt minsta risk
uniformly most accurate,likformigt mest noggrann
uniformly most powerful test ; UMP test,likformigt starkaste test
uniformly unbiased estimator,likformigt väntevärdesriktig estimator
unimodal,entoppig; unimodal
union-intersection principle,union-snitt-principen
union-intersection tests,union-snitt-test
unique factor,unik faktor
uniqueness,unicitet
unit normal random variable ; standard normal variable,standardnormalfördelad variabel
unitemporal model,unitemporal modell
univariate distribution,endimensionell fördelning; univariat fördelning
universe ; statistical universe ; population,population
unreliability,otillförlitlighet
unrestricted random sample,obundet slumpmässigt urval
unweighted mean,ovägt medelvärde
upper control limit,övre styrgräns
upper quartile,övre kvartil
upward bias,systematisk överskattning
urn model,urnmodell
U-shaped distribution,U-formad fördelning
U-statistic,U-statistika
utility theory,nyttoteori
validation,validering
value at risk ; VaR,value at risk; VaR
value index,värdeindex
variable sampling fraction,variabel urvalsfraktion
variable selection,val av variabler
variables inspection,variabelkontroll-metod
variance function,variansfunktion
variance stabilising transformations,variansstabiliserande transformation
variance-covariance matrix,varians-kovariansmatris
variate transformation,variabeltransformation
variation,variation
varimax,varimax
vector correlation coefficient,vektorkorrelationskoeffïcient
Venn diagram,venndiagram
vital statistics,vitalstatistik
volatility,volatilitet
waiting line ; queue,kö
waiting time,väntetid
wavelets,wavelet
weak convergence,svag konvergens
weight ; weighting coefficient ; weighting factor,vikt
weight bias,viktbias
weight function,viktfunktion
weighted average ; weighted mean,vägt medelvärde
weighted index number,vägt indextal
weighted least squares,vägd minsta-kvadratmetod
weighted regression,vägd regression
white noise,vitt brus
wide sense stationary,svagt stationär
window,fönster
Winsorised estimation ; Winsorized estimation,winsoriserad estimation
within-group variance,inomgruppsvarians; inomvarians
z-distribution,z-fördelning
zero-sum game,nollsummespel
zone of indifference ; region of indifference ; indifference zone ; indifference region,indifferenszon
zone of preference ; region of preference,preferenszon
z-test,z-test
